"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 18:37:59 CST 2023","Wed Jun 21 18:37:59 CST 2023","34","","com.example.demo.Controllers.ChangeControllerTest","","com.example.demo.Controllers.ChangeControllerTest","testGetGameIDForLibraryWithIncorrectCode","测试getGameIDForLibrary方法，验证码错误",""
"passed","Wed Jun 21 18:37:57 CST 2023","Wed Jun 21 18:37:57 CST 2023","47","","com.example.demo.Controllers.LoginControllerTest","","com.example.demo.Controllers.LoginControllerTest","testRegisterFail","testRegisterFail()",""
"passed","Wed Jun 21 18:37:57 CST 2023","Wed Jun 21 18:37:57 CST 2023","93","","com.example.demo.Controllers.LoginControllerTest","","com.example.demo.Controllers.LoginControllerTest","testLoginSuccess","testLoginSuccess()",""
"passed","Wed Jun 21 18:37:55 CST 2023","Wed Jun 21 18:37:55 CST 2023","34","","com.example.demo.Services.impl.LoginServiceTest","","com.example.demo.Services.impl.LoginServiceTest","testGenerateUserID","testGenerateUserID()",""
"passed","Wed Jun 21 18:37:59 CST 2023","Wed Jun 21 18:38:00 CST 2023","312","","com.example.demo.Controllers.AdminControllerTest","","com.example.demo.Controllers.AdminControllerTest","testQueryCommodityItem","测试AdminController中的QueryCommodityItem方法",""
"passed","Wed Jun 21 18:37:55 CST 2023","Wed Jun 21 18:37:55 CST 2023","59","","com.example.demo.Services.impl.LoginServiceTest","","com.example.demo.Services.impl.LoginServiceTest","testCheckIdentity","testCheckIdentity()",""
"passed","Wed Jun 21 18:37:57 CST 2023","Wed Jun 21 18:37:57 CST 2023","32","","com.example.demo.Controllers.LoginControllerTest","","com.example.demo.Controllers.LoginControllerTest","testLoginFail","testLoginFail()",""
"passed","Wed Jun 21 18:38:00 CST 2023","Wed Jun 21 18:38:00 CST 2023","24","","com.example.demo.Controllers.AdminControllerTest","","com.example.demo.Controllers.AdminControllerTest","testGetBuyerListItems","测试AdminController中的GetBuyerListItems方法",""
"passed","Wed Jun 21 18:38:00 CST 2023","Wed Jun 21 18:38:00 CST 2023","24","","com.example.demo.Controllers.AdminControllerTest","","com.example.demo.Controllers.AdminControllerTest","testQueryBuyerItem","测试AdminController中的QueryBuyerItem方法",""
"passed","Wed Jun 21 18:37:55 CST 2023","Wed Jun 21 18:37:55 CST 2023","31","","com.example.demo.Services.impl.AdminServiceTest","","com.example.demo.Services.impl.AdminServiceTest","testGetCommoditiesIDForList","测试GetCommoditiesIDForList方法，获取商品列表",""
